期數,日期,號碼1,號碼2,號碼3,號碼4,號碼5,號碼6,特別號
94090.0,2005/11/10,4.0,7.0,19.0,30.0,36.0,46.0,48.0
94091.0,2005/11/14,2.0,13.0,29.0,39.0,44.0,49.0,35.0
94092.0,2005/11/17,2.0,3.0,4.0,17.0,27.0,39.0,15.0
94093.0,2005/11/21,7.0,13.0,23.0,33.0,34.0,42.0,30.0
94094.0,2005/11/24,9.0,11.0,30.0,41.0,47.0,49.0,4.0
94095.0,2005/11/28,2.0,14.0,23.0,25.0,26.0,40.0,6.0
94096.0,2005/12/1,7.0,30.0,38.0,39.0,40.0,43.0,13.0
94097.0,2005/12/5,25.0,31.0,34.0,40.0,41.0,47.0,15.0
94098.0,2005/12/8,13.0,18.0,26.0,28.0,35.0,48.0,42.0
94099.0,2005/12/12,26.0,28.0,29.0,30.0,36.0,37.0,18.0
94100.0,2005/12/15,7.0,16.0,32.0,39.0,45.0,49.0,30.0
94101.0,2005/12/19,3.0,20.0,21.0,22.0,26.0,27.0,25.0
94102.0,2005/12/22,12.0,22.0,24.0,26.0,27.0,47.0,40.0
94103.0,2005/12/26,1.0,2.0,7.0,8.0,27.0,45.0,19.0
94104.0,2005/12/29,6.0,7.0,10.0,13.0,31.0,39.0,18.0
95001.0,2006/1/2,6.0,15.0,22.0,25.0,35.0,41.0,32.0
95002.0,2006/1/5,18.0,23.0,26.0,38.0,39.0,48.0,45.0
95003.0,2006/1/9,8.0,20.0,22.0,39.0,45.0,46.0,31.0
95004.0,2006/1/12,7.0,11.0,22.0,24.0,28.0,30.0,35.0
95005.0,2006/1/16,4.0,12.0,15.0,19.0,26.0,31.0,41.0
95006.0,2006/1/19,3.0,11.0,18.0,20.0,21.0,26.0,24.0
95007.0,2006/1/23,1.0,11.0,16.0,21.0,23.0,40.0,10.0
95008.0,2006/1/26,10.0,29.0,30.0,32.0,43.0,47.0,35.0
95009.0,2006/1/30,4.0,5.0,13.0,26.0,32.0,42.0,46.0
95010.0,2006/2/2,2.0,8.0,12.0,20.0,26.0,33.0,13.0
95011.0,2006/2/6,11.0,15.0,18.0,25.0,29.0,49.0,5.0
95012.0,2006/2/9,12.0,21.0,34.0,37.0,38.0,39.0,27.0
95013.0,2006/2/13,3.0,15.0,21.0,23.0,36.0,49.0,10.0
95014.0,2006/2/16,5.0,6.0,18.0,23.0,26.0,29.0,16.0
95015.0,2006/2/20,2.0,14.0,18.0,21.0,37.0,43.0,13.0
95016.0,2006/2/23,7.0,12.0,16.0,17.0,19.0,33.0,39.0
95017.0,2006/2/27,9.0,17.0,18.0,27.0,36.0,42.0,10.0
95018.0,2006/3/2,5.0,8.0,24.0,31.0,32.0,39.0,4.0
95019.0,2006/3/6,5.0,7.0,9.0,15.0,31.0,34.0,38.0
95020.0,2006/3/9,6.0,13.0,15.0,17.0,18.0,22.0,3.0
95021.0,2006/3/13,4.0,21.0,25.0,35.0,39.0,42.0,45.0
95022.0,2006/3/16,3.0,9.0,18.0,42.0,45.0,46.0,5.0
95023.0,2006/3/20,12.0,28.0,30.0,40.0,47.0,49.0,3.0
95024.0,2006/3/23,7.0,23.0,28.0,29.0,38.0,46.0,14.0
95025.0,2006/3/28,5.0,8.0,9.0,15.0,29.0,45.0,18.0
95026.0,2006/3/30,12.0,17.0,26.0,31.0,35.0,48.0,40.0
95027.0,2006/4/4,6.0,10.0,11.0,32.0,34.0,39.0,7.0
95028.0,2006/4/6,5.0,23.0,36.0,38.0,40.0,42.0,1.0
95029.0,2006/4/11,8.0,10.0,16.0,22.0,37.0,38.0,14.0
95030.0,2006/4/13,1.0,23.0,25.0,37.0,39.0,45.0,21.0
95031.0,2006/4/18,4.0,6.0,14.0,16.0,20.0,41.0,2.0
95032.0,2006/4/20,9.0,13.0,15.0,27.0,34.0,42.0,2.0
95033.0,2006/4/25,3.0,9.0,19.0,40.0,44.0,49.0,4.0
95034.0,2006/4/27,9.0,12.0,30.0,33.0,42.0,49.0,4.0
95035.0,2006/5/2,3.0,16.0,24.0,25.0,40.0,43.0,48.0
95036.0,2006/5/4,2.0,3.0,19.0,26.0,27.0,41.0,7.0
95037.0,2006/5/9,5.0,8.0,18.0,26.0,38.0,42.0,2.0
95038.0,2006/5/11,2.0,12.0,19.0,26.0,34.0,46.0,38.0
95039.0,2006/5/16,8.0,20.0,35.0,36.0,45.0,46.0,44.0
95040.0,2006/5/18,1.0,23.0,28.0,46.0,47.0,49.0,6.0
95041.0,2006/5/23,11.0,20.0,31.0,38.0,42.0,46.0,37.0
95042.0,2006/5/25,1.0,15.0,20.0,37.0,47.0,48.0,38.0
95043.0,2006/5/30,2.0,9.0,15.0,16.0,22.0,49.0,7.0
95044.0,2006/6/1,4.0,11.0,34.0,35.0,45.0,48.0,24.0
95045.0,2006/6/6,4.0,12.0,15.0,37.0,41.0,42.0,19.0
95046.0,2006/6/8,3.0,4.0,15.0,23.0,26.0,47.0,12.0
95047.0,2006/6/13,8.0,11.0,12.0,32.0,38.0,45.0,24.0
95048.0,2006/6/15,1.0,25.0,35.0,37.0,44.0,46.0,43.0
95049.0,2006/6/20,3.0,8.0,14.0,18.0,19.0,43.0,29.0
95050.0,2006/6/22,1.0,18.0,31.0,39.0,41.0,47.0,44.0
95051.0,2006/6/27,1.0,20.0,29.0,30.0,35.0,39.0,43.0
95052.0,2006/6/29,11.0,15.0,17.0,21.0,23.0,31.0,9.0
95053.0,2006/7/4,8.0,9.0,14.0,19.0,20.0,33.0,29.0
95054.0,2006/7/6,14.0,23.0,24.0,41.0,44.0,47.0,10.0
95055.0,2006/7/11,1.0,6.0,9.0,16.0,42.0,44.0,3.0
95056.0,2006/7/13,6.0,16.0,24.0,34.0,42.0,43.0,23.0
95057.0,2006/7/18,11.0,20.0,31.0,34.0,36.0,38.0,15.0
95058.0,2006/7/20,7.0,30.0,37.0,41.0,43.0,49.0,10.0
95059.0,2006/7/25,14.0,16.0,25.0,27.0,42.0,49.0,44.0
95060.0,2006/7/27,4.0,36.0,37.0,42.0,45.0,46.0,1.0
95061.0,2006/8/1,12.0,28.0,29.0,35.0,37.0,42.0,8.0
95062.0,2006/8/3,3.0,20.0,21.0,42.0,44.0,46.0,25.0
95063.0,2006/8/8,4.0,8.0,12.0,20.0,22.0,39.0,48.0
95064.0,2006/8/10,3.0,9.0,16.0,40.0,43.0,48.0,42.0
95065.0,2006/8/15,6.0,10.0,19.0,27.0,32.0,41.0,43.0
95066.0,2006/8/17,18.0,23.0,25.0,28.0,35.0,36.0,16.0
95067.0,2006/8/22,16.0,20.0,24.0,30.0,38.0,40.0,6.0
95068.0,2006/8/24,10.0,11.0,14.0,17.0,21.0,45.0,19.0
95069.0,2006/8/29,17.0,24.0,34.0,38.0,42.0,49.0,30.0
95070.0,2006/8/31,5.0,6.0,25.0,33.0,38.0,49.0,47.0
95071.0,2006/9/5,2.0,5.0,27.0,30.0,33.0,48.0,19.0
95072.0,2006/9/7,11.0,12.0,15.0,28.0,43.0,48.0,37.0
95073.0,2006/9/12,2.0,8.0,11.0,14.0,15.0,21.0,31.0
95074.0,2006/9/14,1.0,10.0,37.0,39.0,43.0,44.0,35.0
95075.0,2006/9/19,1.0,9.0,21.0,39.0,40.0,41.0,46.0
95076.0,2006/9/21,6.0,13.0,20.0,21.0,33.0,40.0,26.0
95077.0,2006/9/26,2.0,6.0,8.0,25.0,30.0,45.0,38.0
95078.0,2006/9/28,8.0,19.0,30.0,33.0,37.0,43.0,22.0
95079.0,2006/10/3,6.0,7.0,23.0,31.0,33.0,36.0,24.0
95080.0,2006/10/5,7.0,15.0,20.0,32.0,36.0,44.0,3.0
95081.0,2006/10/10,1.0,17.0,21.0,35.0,36.0,46.0,19.0
95082.0,2006/10/12,9.0,17.0,23.0,26.0,30.0,41.0,19.0
95083.0,2006/10/17,8.0,13.0,16.0,41.0,43.0,46.0,31.0
95084.0,2006/10/19,9.0,10.0,12.0,25.0,33.0,38.0,5.0
95085.0,2006/10/24,1.0,4.0,5.0,15.0,18.0,42.0,6.0
95086.0,2006/10/26,5.0,7.0,11.0,19.0,36.0,42.0,23.0
95087.0,2006/10/31,6.0,8.0,29.0,39.0,46.0,49.0,23.0
95088.0,2006/11/2,6.0,30.0,34.0,45.0,46.0,48.0,29.0
95089.0,2006/11/7,5.0,18.0,20.0,33.0,38.0,40.0,34.0
95090.0,2006/11/9,12.0,14.0,20.0,22.0,37.0,40.0,23.0
95091.0,2006/11/14,5.0,17.0,29.0,34.0,38.0,47.0,26.0
95092.0,2006/11/16,2.0,17.0,28.0,29.0,38.0,49.0,16.0
95093.0,2006/11/21,6.0,7.0,11.0,19.0,47.0,48.0,17.0
95094.0,2006/11/23,1.0,23.0,34.0,37.0,43.0,45.0,9.0
95095.0,2006/11/28,14.0,19.0,31.0,37.0,42.0,45.0,11.0
